ad_spend,impressions,clicks,conversions,engagement_score,roi,digital_waste,region,platform,category
2361.84,259321,7521,795,0.23,-0.22,0.63,Europe,Google Ads,Education
929.66,76150,5116,2053,0.81,1.95,0.15,Asia,Google Ads,Technology
3590.64,621600,869,2258,0.48,2.18,0.37,North America,YouTube,Finance
4192.43,99613,1443,2426,0.55,1.97,0.21,Asia,Instagram,Finance
3077.82,347054,4458,806,0.81,2.2,0.7,Asia,Facebook,Healthcare
8373.01,848807,9869,86,0.64,1.16,0.94,Australia,Google Ads,Healthcare
3889.16,131826,6880,68,0.28,1.94,1.0,Australia,Instagram,Education
3168.88,569723,6702,2488,0.63,0.65,0.45,Asia,LinkedIn,Technology
5655.61,892875,2449,2695,0.47,1.5,0.25,South America,Instagram,Finance
1838.78,460348,5799,1533,0.52,2.47,0.44,Australia,YouTube,Technology
8120.87,220017,1341,1946,0.13,0.18,0.85,Asia,LinkedIn,Retail
1208.23,144055,1225,2166,0.29,0.67,0.21,North America,LinkedIn,Technology
9875.43,500457,9482,1311,0.35,0.94,0.95,South America,Instagram,Retail
7836.33,686022,6864,77,0.74,-0.09,0.34,Europe,YouTube,Healthcare
2387.8,819942,5201,2362,0.11,-0.26,0.99,Asia,Google Ads,Healthcare
552.46,743547,7943,1942,0.47,1.99,0.84,Asia,Instagram,Education
8246.88,706358,172,2731,0.93,2.43,0.81,South America,Google Ads,Technology
7215.14,460062,5572,374,0.2,0.71,0.32,Australia,Instagram,Technology
7425.57,104071,5289,830,0.56,-0.24,0.01,Australia,Google Ads,Retail
7827.07,803072,2572,1412,0.81,-0.3,0.38,Australia,Instagram,Healthcare
1203.42,316691,807,2400,0.95,2.17,0.3,Europe,LinkedIn,Retail
3905.42,851052,1904,956,0.77,0.89,0.04,South America,Facebook,Healthcare
1600.76,156389,6804,2956,0.75,0.46,0.51,South America,LinkedIn,Retail
8699.48,649896,3813,1587,0.84,0.93,0.4,Australia,Google Ads,Healthcare
6421.33,279708,5151,1387,0.5,0.45,0.63,Australia,YouTube,Retail
3643.53,692705,2575,1449,0.83,0.97,0.62,North America,LinkedIn,Healthcare
1103.8,648112,3710,771,0.11,2.08,0.12,North America,Facebook,Retail
3454.33,264444,4355,350,0.93,1.28,0.98,Asia,Google Ads,Technology
3589.24,613561,7497,2999,0.5,1.58,0.19,Asia,LinkedIn,Education
7431.26,871291,1835,392,0.6,0.59,0.45,South America,Instagram,Retail
6556.8,221837,9877,1013,0.33,1.72,0.49,South America,YouTube,Education
8928.52,120017,8358,1566,0.77,1.5,0.81,Europe,Google Ads,Technology
4986.04,133618,8079,309,0.17,-0.14,0.1,Europe,LinkedIn,Technology
1636.15,979897,2528,148,0.89,1.22,0.43,North America,Google Ads,Healthcare
7275.83,469297,7526,368,0.85,0.27,0.63,Asia,Instagram,Education
7727.46,135341,8633,845,0.29,1.91,0.22,North America,Facebook,Finance
5832.13,825862,5349,1532,0.83,0.78,0.63,North America,LinkedIn,Healthcare
7824.19,740892,5391,1637,0.81,2.48,0.92,Asia,Google Ads,Education
5191.06,562076,2917,1992,0.67,-0.22,1.0,Europe,Google Ads,Retail
5465.96,760865,9524,1313,0.44,1.84,0.03,Asia,Google Ads,Retail
4561.64,451759,3974,2540,0.34,1.52,0.24,Australia,Facebook,Technology
741.48,941423,9786,918,0.31,1.8,0.31,Australia,Google Ads,Finance
1524.97,865778,4311,1144,0.39,0.42,0.4,Australia,YouTube,Retail
798.58,892554,761,2923,0.91,0.98,0.24,South America,YouTube,Education
6545.9,574262,3474,2196,0.17,1.89,0.2,Europe,Google Ads,Education
3486.38,903741,9308,1005,0.85,0.2,0.95,Europe,YouTube,Retail
5331.42,550659,307,2492,0.41,0.18,0.92,South America,LinkedIn,Education
9121.88,841516,2765,2566,0.57,1.15,0.05,North America,YouTube,Education
2868.28,432845,2593,2330,0.82,1.07,0.34,Australia,Google Ads,Technology
4398.64,716544,6913,2161,0.9,0.35,0.41,Australia,Instagram,Finance
7677.74,334060,732,1247,0.41,0.39,0.24,North America,LinkedIn,Technology
2673.58,608260,3183,1794,0.52,0.33,0.63,Asia,Facebook,Finance
1231.31,203259,3819,2819,0.47,1.81,0.64,Asia,Google Ads,Education
3252.64,285128,7223,2844,0.11,1.46,0.85,Europe,Facebook,Finance
2031.6,829471,1779,174,0.37,2.0,0.74,South America,Instagram,Education
9332.13,619719,336,1008,0.51,2.43,0.54,Europe,Facebook,Education
8177.14,880123,7546,2577,0.47,0.92,0.65,Asia,Google Ads,Technology
6517.34,855038,4543,1317,0.75,-0.3,0.27,North America,Google Ads,Technology
8778.88,413832,6870,2574,0.45,-0.36,0.59,Europe,Instagram,Healthcare
8134.88,899097,9832,666,0.54,0.39,0.49,Australia,Google Ads,Retail
2272.42,639661,6199,2670,0.49,2.3,0.13,Australia,Instagram,Healthcare
8979.31,191144,8655,2221,0.77,1.07,0.24,North America,Instagram,Healthcare
5623.75,821006,2468,1919,0.88,0.32,0.29,Asia,Google Ads,Finance
8170.68,930934,385,2056,0.58,0.7,0.92,Australia,YouTube,Education
9012.87,260195,248,2121,0.81,1.3,0.23,Australia,Instagram,Education
3521.03,153748,4137,1150,0.37,1.46,0.29,South America,Google Ads,Education
1545.49,414032,6649,1899,0.59,-0.04,0.37,Europe,YouTube,Retail
2665.38,42733,7221,276,0.41,2.43,0.66,Asia,Instagram,Finance
4557.52,751040,4995,1855,0.47,1.13,0.12,Europe,YouTube,Finance
8271.14,536338,5380,1718,0.76,-0.09,0.95,Asia,LinkedIn,Education
8676.94,119996,1112,2303,0.89,2.18,0.87,Australia,LinkedIn,Healthcare
566.05,568221,9815,2452,0.21,-0.28,0.58,South America,YouTube,Retail
5352.1,559239,2885,1520,0.67,2.22,0.67,Europe,Instagram,Healthcare
4465.4,566701,3825,485,0.62,2.49,0.02,Australia,Google Ads,Technology
2610.02,175873,4676,986,0.21,1.6,0.34,Asia,Facebook,Finance
1638.72,720979,5882,1217,0.29,1.81,0.8,Europe,Google Ads,Finance
3707.34,960417,6357,1053,0.38,0.51,0.08,Europe,Facebook,Healthcare
9457.64,909005,9893,1970,0.25,2.32,0.28,Australia,Facebook,Retail
3570.43,443816,2508,567,0.32,1.09,0.59,Europe,Instagram,Finance
5428.51,723135,440,1027,0.34,1.7,0.26,South America,YouTube,Healthcare
7178.68,231888,2917,1615,0.4,2.27,0.93,South America,Google Ads,Retail
3954.48,795332,2596,892,0.77,2.43,0.13,Australia,YouTube,Healthcare
9731.93,755453,6062,2204,0.61,2.0,0.8,Asia,LinkedIn,Retail
9643.25,777950,5399,675,0.99,0.41,0.51,Australia,Instagram,Education
2891.93,176472,7674,2677,0.47,2.4,0.75,South America,Instagram,Retail
5223.86,407710,1789,1781,0.78,1.38,0.31,North America,LinkedIn,Technology
3358.34,221760,3367,2877,0.88,2.29,0.51,North America,Google Ads,Education
3205.98,132744,4506,873,0.71,1.53,0.86,Europe,LinkedIn,Healthcare
850.43,885863,8553,591,0.47,0.42,0.47,Europe,Google Ads,Education
6290.86,740051,1542,704,0.78,0.61,0.36,North America,Facebook,Education
5275.45,511946,8697,1261,0.28,1.15,0.54,South America,Instagram,Healthcare
989.05,53001,4537,1620,0.39,1.87,0.72,Europe,Google Ads,Healthcare
3147.14,601652,5535,1249,0.59,0.45,0.44,Australia,YouTube,Technology
9128.53,921420,8535,2464,0.62,1.24,0.94,Australia,YouTube,Healthcare
2775.84,841460,4207,408,0.12,0.54,0.29,South America,Instagram,Finance
1876.5,248506,660,1956,0.95,1.95,0.48,Europe,LinkedIn,Finance
5149.8,763019,8885,724,0.73,0.9,0.76,Australia,LinkedIn,Technology
9863.68,440789,5648,713,0.55,-0.27,0.69,Europe,Google Ads,Retail
2799.53,666166,1926,2818,0.94,-0.0,0.86,Europe,LinkedIn,Retail
6885.29,920775,7729,2556,0.5,-0.32,1.0,Australia,Instagram,Finance
7735.39,721998,8425,1724,0.98,1.0,0.43,North America,Google Ads,Healthcare
2757.56,662589,3238,1982,0.56,-0.18,0.11,Australia,Facebook,Technology
7418.06,922727,7793,91,0.2,-0.16,0.03,South America,LinkedIn,Retail
3993.94,509722,8364,613,0.79,2.32,0.73,Asia,LinkedIn,Retail
6506.91,695117,7942,1980,0.71,2.12,0.87,Australia,Google Ads,Education
6518.53,568924,6821,1720,0.8,0.86,0.22,Europe,YouTube,Finance
5589.86,745457,7102,2056,0.96,2.46,0.16,Europe,LinkedIn,Healthcare
1357.75,189352,4325,2829,0.8,-0.5,0.06,Australia,Instagram,Technology
8435.37,820694,3078,912,0.65,1.34,0.82,Asia,LinkedIn,Retail
3547.41,876867,7473,374,0.87,1.35,0.31,Australia,Facebook,Education
2271.93,203283,6007,172,0.71,0.87,0.4,Asia,LinkedIn,Finance
887.36,982346,6197,2568,0.47,0.69,0.5,Asia,YouTube,Finance
6113.48,925015,5756,1873,0.9,0.87,0.84,South America,LinkedIn,Technology
6936.86,460195,9084,125,0.3,0.74,0.65,Europe,Google Ads,Retail
657.58,779884,4359,2998,0.74,1.69,0.62,Europe,LinkedIn,Technology
5364.88,441413,8386,2394,0.89,-0.09,0.18,Asia,YouTube,Technology
2651.71,313988,6001,890,0.76,0.09,0.51,Europe,Google Ads,Education
6629.14,336898,9425,2794,0.73,0.04,0.72,North America,Instagram,Finance
2156.48,961661,5017,849,0.78,0.29,0.97,Asia,Google Ads,Healthcare
7063.91,873561,8529,2204,0.52,1.08,0.2,Europe,Facebook,Finance
4173.99,312186,2630,1356,0.89,-0.17,0.01,North America,Google Ads,Finance
9398.93,71665,2060,2500,0.28,2.1,0.08,South America,Instagram,Education
1806.45,256584,7145,2894,0.21,0.39,0.38,Europe,LinkedIn,Healthcare
3740.13,126953,1148,1046,0.36,-0.01,0.82,North America,Google Ads,Retail
1578.0,486072,5872,952,0.58,1.53,0.01,Australia,Google Ads,Healthcare
9284.59,692736,2629,1734,0.56,-0.39,0.46,Australia,Google Ads,Retail
8834.72,196626,3064,2344,0.84,1.36,0.33,North America,Google Ads,Healthcare
2950.45,155271,7237,2777,0.46,1.59,0.05,Asia,Instagram,Technology
6769.85,128533,1063,1147,0.54,0.14,0.45,Asia,YouTube,Healthcare
8263.61,978452,636,2537,0.11,-0.37,0.25,Europe,YouTube,Education
5774.41,608069,7440,31,0.47,0.59,0.35,Australia,Google Ads,Retail
5531.68,475966,7279,1759,0.68,-0.2,0.71,Asia,Instagram,Finance
2797.6,76262,8067,692,0.11,-0.15,0.52,Asia,Instagram,Education
1384.48,843032,8834,2963,0.35,0.26,0.12,Australia,Google Ads,Retail
9023.55,86898,945,1843,0.29,0.39,0.96,South America,Facebook,Retail
9053.97,465699,5877,2377,0.14,1.09,0.64,Asia,Google Ads,Finance
6514.46,159369,3136,135,0.53,1.54,0.77,North America,Facebook,Technology
3720.78,564736,6047,286,0.26,1.28,0.08,Europe,Google Ads,Education
3817.49,298316,2594,2009,0.77,-0.05,0.05,Asia,Facebook,Finance
7396.58,970378,2819,1237,0.86,0.02,0.02,Asia,Facebook,Finance
9022.55,17657,1984,2251,0.59,2.14,0.19,South America,Google Ads,Technology
8927.32,487602,4449,705,0.98,1.18,0.41,North America,Facebook,Education
7908.82,790977,5279,1319,0.51,2.11,0.94,Europe,LinkedIn,Finance
6599.3,952929,6710,66,0.56,0.61,0.46,Asia,YouTube,Technology
1299.33,954189,6530,28,0.99,1.34,0.29,Europe,Instagram,Education
2035.47,384999,7254,2321,0.31,1.07,0.56,Australia,Facebook,Healthcare
9036.26,952082,6588,2851,0.95,0.46,0.11,Asia,Facebook,Retail
6261.08,694191,4837,122,0.14,0.91,0.61,Asia,Instagram,Technology
587.37,17906,6625,551,0.5,1.01,0.57,Australia,Facebook,Retail
1463.98,333557,3950,2704,0.16,0.1,0.79,South America,Instagram,Healthcare
6803.27,588316,789,588,0.76,0.45,0.99,Asia,Google Ads,Finance
548.09,803719,5275,1098,0.65,1.87,0.25,Europe,LinkedIn,Finance
2027.68,305804,8748,34,0.74,2.25,0.51,North America,LinkedIn,Education
5712.97,478974,5178,1582,0.44,0.58,0.91,Europe,YouTube,Technology
7073.0,856936,5548,2058,0.43,0.42,0.79,South America,Facebook,Technology
6693.63,725080,1279,2968,0.14,0.09,0.49,North America,YouTube,Education
2630.56,637267,9174,1582,0.41,1.54,0.95,Europe,Google Ads,Retail
7265.7,44701,6506,150,0.94,0.47,0.06,Europe,LinkedIn,Finance
2753.87,93300,8691,1777,0.44,2.46,0.93,Australia,Google Ads,Finance
3591.3,775537,7007,657,0.85,0.48,0.05,South America,Google Ads,Technology
7591.67,683034,8900,2245,0.86,0.68,0.55,Australia,Facebook,Technology
6671.51,93560,1738,210,0.44,1.31,0.89,North America,Google Ads,Education
8567.62,252615,5771,266,0.67,1.91,0.26,Australia,LinkedIn,Healthcare
6747.32,951378,7028,556,0.19,0.91,0.47,South America,YouTube,Retail
5898.93,53642,1482,2251,0.19,0.77,0.32,Asia,LinkedIn,Healthcare
1389.91,527083,1503,2760,0.14,2.49,0.95,Asia,Facebook,Healthcare
3993.3,501036,9111,811,0.62,-0.47,0.82,North America,LinkedIn,Technology
3019.42,337304,3392,951,0.48,2.19,0.71,Asia,Instagram,Technology
2817.9,814034,9111,423,0.59,-0.05,0.59,Australia,YouTube,Technology
9743.6,375464,519,2024,0.57,1.86,0.82,North America,Instagram,Healthcare
4234.43,623089,4617,1391,0.42,1.35,0.39,South America,Instagram,Retail
8974.44,298075,3402,1108,0.71,0.53,0.45,North America,Facebook,Technology
6495.82,104377,7957,919,0.78,2.12,0.73,North America,Google Ads,Finance
8050.71,825624,9800,197,0.11,-0.46,0.36,Europe,Instagram,Retail
5275.05,842974,7970,2025,0.29,0.18,0.06,Europe,LinkedIn,Finance
5980.59,923447,5793,1323,0.74,1.2,0.07,North America,Google Ads,Retail
5178.92,838952,867,2102,0.45,0.55,0.12,Asia,LinkedIn,Technology
2354.81,336916,2144,2140,0.7,1.33,0.87,Europe,LinkedIn,Education
7363.3,461978,1649,1156,0.41,-0.43,0.47,South America,Google Ads,Technology
3167.34,322250,6240,367,0.45,-0.15,0.71,Australia,Google Ads,Healthcare
731.0,615409,3816,1561,0.24,-0.12,0.39,Europe,LinkedIn,Healthcare
6631.99,35559,4581,1099,0.33,0.07,0.26,North America,Facebook,Retail
2182.55,902027,7998,2993,0.64,0.88,0.35,Asia,YouTube,Healthcare
9434.36,568030,6648,1690,0.49,1.76,0.79,Australia,YouTube,Technology
9562.32,866101,2393,2432,0.8,2.22,0.63,Europe,Facebook,Finance
9191.21,687114,4937,171,0.87,2.01,0.94,Asia,Google Ads,Technology
4016.51,145044,7858,2379,0.59,0.09,0.68,Asia,LinkedIn,Retail
646.84,867263,6893,459,0.78,0.82,0.57,Asia,YouTube,Healthcare
9319.03,122217,7738,1507,0.38,0.1,0.61,North America,LinkedIn,Finance
4567.75,576161,8093,1046,0.47,0.29,0.94,South America,Facebook,Education
9683.22,902964,6107,2241,0.74,1.01,0.79,Asia,LinkedIn,Finance
9654.39,922699,5642,2168,0.45,-0.3,0.02,Australia,Facebook,Finance
8603.59,413119,9192,1960,0.63,0.15,0.53,Europe,Google Ads,Technology
3297.26,668380,6456,2565,0.27,2.31,0.69,Australia,Facebook,Education
4158.43,838187,8533,1323,0.64,0.9,0.75,North America,Facebook,Retail
8585.8,882388,7480,2352,0.88,0.84,0.21,North America,YouTube,Retail
3510.76,96988,2485,2961,0.88,-0.46,0.87,Australia,LinkedIn,Finance
2110.18,579936,4368,1248,0.75,0.24,0.96,South America,YouTube,Finance
5789.61,135991,771,983,0.77,2.1,0.24,North America,Instagram,Healthcare
9393.47,412732,263,641,0.6,-0.01,0.88,North America,Facebook,Education
7112.28,516079,8756,1600,0.63,0.75,0.1,Australia,Instagram,Finance
5915.58,911437,4692,1060,0.22,-0.46,0.06,North America,YouTube,Healthcare
1423.18,536684,4895,2790,0.5,0.94,0.13,South America,LinkedIn,Education
6342.57,94082,4898,1598,0.51,-0.44,0.06,South America,YouTube,Retail
9905.51,946633,6136,2378,0.96,1.96,0.85,South America,LinkedIn,Healthcare
1830.8,138322,2455,2970,0.49,1.97,0.06,Europe,LinkedIn,Education
5424.13,666951,5987,1703,0.59,1.86,0.27,South America,Google Ads,Healthcare
8835.04,21303,8061,446,0.58,0.35,0.1,South America,Facebook,Finance
7537.3,171633,5927,2838,0.67,2.01,0.3,Europe,YouTube,Technology
7121.65,343863,8837,1566,0.77,1.13,0.09,Asia,LinkedIn,Retail
7173.6,259690,4819,1086,0.3,0.62,0.67,North America,YouTube,Finance
3915.17,794108,693,1314,0.58,1.38,0.13,South America,YouTube,Finance
3289.12,109616,4939,2783,0.84,-0.46,0.85,North America,LinkedIn,Education
8188.93,920597,7494,2088,0.52,-0.07,0.82,Australia,Instagram,Healthcare
8196.08,96231,9751,2394,0.35,1.73,0.01,North America,Facebook,Retail
8737.19,279458,3593,192,0.69,0.23,0.9,Europe,Facebook,Finance
9175.79,29623,6264,2601,0.84,1.29,0.03,North America,Google Ads,Education
5357.75,733035,2772,1479,0.16,0.66,0.24,North America,Google Ads,Retail
5264.4,500042,4300,1489,0.8,2.06,0.03,North America,Google Ads,Healthcare
8083.8,468298,116,1599,0.84,2.36,0.34,Asia,Facebook,Finance
6674.66,486840,3291,1597,0.52,2.15,0.51,Asia,Instagram,Finance
7168.69,115228,492,669,0.98,0.31,0.8,Australia,Facebook,Finance
8060.03,436346,8716,169,0.81,0.08,0.34,Europe,Facebook,Retail
8955.05,717116,6372,2469,0.8,0.92,0.71,North America,Facebook,Retail
3710.95,894056,671,1021,0.77,-0.48,0.19,North America,Facebook,Retail
4068.04,691652,3731,62,0.24,-0.42,0.75,North America,Instagram,Retail
1392.83,908217,6272,2465,0.3,1.16,0.24,North America,Google Ads,Education
5993.66,530547,9412,2904,0.52,1.06,0.14,Asia,YouTube,Technology
841.45,882638,7277,1055,0.34,2.48,0.19,Australia,Google Ads,Education
4923.18,79274,8533,1063,0.47,0.11,0.18,South America,Google Ads,Finance
5655.12,143541,3997,2760,0.9,0.27,0.51,Europe,YouTube,Education
3222.14,63947,8223,2317,0.84,-0.16,0.84,North America,Facebook,Healthcare
6112.92,687894,2379,1238,0.67,2.25,0.08,Australia,Instagram,Retail
789.75,204692,9080,1504,0.87,1.83,0.71,South America,Instagram,Healthcare
854.81,58874,7551,2833,0.81,1.97,0.65,Australia,Google Ads,Healthcare
8314.71,583996,9006,1499,0.49,2.21,0.87,Asia,YouTube,Finance
3921.81,84553,875,1045,0.28,1.07,0.24,South America,LinkedIn,Retail
1707.07,602632,6969,1960,0.56,0.85,0.45,Australia,Facebook,Healthcare
5461.31,845570,2347,859,0.76,0.49,0.93,Asia,Google Ads,Finance
7814.94,719662,7188,363,0.49,1.27,0.66,Australia,Instagram,Retail
2550.3,581926,178,1108,0.7,0.86,0.39,Australia,YouTube,Technology
6417.46,88249,8180,2930,0.18,0.85,0.13,South America,YouTube,Finance
1310.8,902297,7199,1749,0.77,2.31,0.26,Asia,Google Ads,Education
990.98,537007,4026,1474,0.83,2.45,0.58,North America,LinkedIn,Retail
5547.87,688250,9147,1000,0.74,1.89,0.72,Europe,Instagram,Healthcare
5636.03,480452,7440,1274,0.97,1.77,0.12,South America,Google Ads,Healthcare
6555.58,439725,7183,1894,0.84,1.54,0.6,Asia,LinkedIn,Education
7397.87,52534,6330,1819,0.91,-0.0,0.55,Australia,YouTube,Education
9770.59,505518,9323,2351,0.94,-0.32,0.51,Asia,Facebook,Healthcare
5404.85,626529,5040,2266,0.82,1.57,0.69,Europe,Instagram,Retail
3568.09,422003,3371,1121,0.71,1.69,0.84,Europe,Instagram,Finance
8054.27,136209,3556,827,0.11,-0.36,0.32,North America,LinkedIn,Education
3072.91,452061,7888,1809,0.52,2.28,0.89,North America,Google Ads,Education
4670.23,199004,8699,1970,0.61,-0.23,0.16,Europe,YouTube,Education
1245.34,626412,7750,2447,0.37,0.36,0.17,South America,LinkedIn,Technology
740.83,625947,2811,2382,0.39,1.52,0.27,South America,Facebook,Retail
9645.16,174134,1768,2997,0.97,0.01,0.12,Australia,Facebook,Retail
8441.81,85713,247,898,0.9,-0.33,0.23,North America,Facebook,Retail
7111.75,752623,6520,1865,0.86,0.49,0.11,Australia,LinkedIn,Retail
4385.05,498972,465,1190,0.47,1.8,0.82,North America,YouTube,Retail
2146.3,987965,9966,677,0.11,0.74,0.14,Europe,Instagram,Healthcare
1986.15,85418,4631,642,0.17,1.46,0.75,South America,Google Ads,Education
2877.31,994176,5430,2634,0.38,1.24,0.05,South America,Instagram,Healthcare
5717.65,138232,5610,1652,0.11,-0.43,0.95,Europe,YouTube,Technology
7288.66,962336,8854,146,0.12,2.47,0.71,Australia,Instagram,Finance
6771.88,530551,9064,1956,0.92,-0.38,0.01,Australia,LinkedIn,Education
3159.37,173038,6593,1707,0.74,2.4,0.76,Asia,Facebook,Technology
9571.22,940491,5539,437,0.38,1.15,0.51,North America,YouTube,Healthcare
7510.02,178383,9865,1485,0.22,2.39,0.78,Australia,YouTube,Finance
5766.36,828007,6611,2669,0.56,-0.16,0.52,Europe,Instagram,Technology
6311.35,335996,7604,2968,0.1,0.97,0.64,Australia,LinkedIn,Finance
4486.2,268722,1346,828,0.94,0.01,0.79,South America,Instagram,Technology
2853.44,142079,3939,2198,0.47,-0.35,0.41,North America,Instagram,Healthcare
3881.74,212053,8651,1116,0.46,1.35,0.0,Asia,YouTube,Finance
7699.54,610530,2476,2234,0.45,0.12,0.85,North America,Instagram,Technology
636.74,188589,3109,207,0.16,1.26,0.38,South America,Facebook,Healthcare
1602.69,513238,9254,2681,0.67,-0.16,0.5,South America,Instagram,Education
937.03,39257,1927,2005,0.76,0.5,0.01,South America,Facebook,Healthcare
886.92,490488,7079,2748,0.71,1.84,0.49,South America,YouTube,Healthcare
8626.88,445423,9905,2458,0.22,0.81,0.99,Europe,LinkedIn,Education
7184.75,154353,9932,480,0.62,1.38,0.28,Asia,Facebook,Healthcare
5004.65,333390,8669,2275,0.61,1.44,0.4,South America,LinkedIn,Education
1429.42,273579,4385,1958,0.88,2.03,0.69,South America,LinkedIn,Education
5170.35,239947,7010,938,0.44,0.47,0.81,Australia,Facebook,Education
4997.98,241758,8661,2020,0.43,1.56,0.42,Asia,YouTube,Technology
2145.42,625645,2296,2689,0.66,2.38,0.31,North America,Google Ads,Finance
4621.59,167732,3847,915,0.67,1.69,0.94,Asia,LinkedIn,Technology
4285.79,932588,8943,2232,0.52,0.97,0.68,Asia,LinkedIn,Education
6350.58,941011,6078,32,0.5,1.39,0.12,Asia,YouTube,Finance
6533.39,737955,5707,244,0.54,1.72,0.07,South America,YouTube,Finance
930.39,618095,869,1134,0.87,1.34,0.48,South America,Instagram,Education
4058.82,448755,880,938,0.52,-0.45,0.22,Europe,YouTube,Finance
6445.67,912385,6403,532,0.95,0.08,0.25,North America,LinkedIn,Finance
5279.79,148563,4083,1818,0.55,1.93,0.88,Australia,Facebook,Technology
8636.65,793066,9603,440,0.95,0.32,0.09,Asia,Google Ads,Finance
6757.59,516047,8814,802,0.85,1.69,0.72,North America,Instagram,Education
2047.88,715552,621,1639,0.43,0.62,0.27,North America,Facebook,Retail
